1559243306766027155
398902, 138, -52, -3972, -20, 36, 11, 319, -71, -1045, 26.78, 170.26, 158.17
398912, 170, -42, -3994, -20, 38, 9, 324, -78, -1035, 26.78, 170.26, 158.17
398922, 178, -52, -3978, -19, 37, 11, 325, -75, -1034, 26.77, 170.26, 158.16
398932, 146, -26, -3990, -18, 37, 11, 331, -71, -1033, 26.77, 170.26, 158.15
398941, 146, -66, -3976, -18, 37, 8, 329, -61, -1040, 26.76, 170.26, 158.14
398952, 218, -74, -4026, -19, 37, 11, 322, -81, -1049, 26.76, 170.25, 158.14
398962, 210, -32, -4014, -18, 37, 11, 320, -72, -1034, 26.76, 170.25, 158.13
398972, 184, -28, -4014, -18, 37, 12, 331, -69, -1040, 26.75, 170.25, 158.12
398982, 142, -56, -3976, -17, 35, 11, 320, -77, -1043, 26.75, 170.25, 158.11
398991, 152, -66, -3968, -20, 37, 12, 322, -71, -1035, 26.74, 170.24, 158.10
399002, 214, -28, -3976, -18, 37, 11, 319, -64, -1040, 26.74, 170.24, 158.09
399012, 180, -30, -3992, -20, 37, 14, 324, -64, -1038, 26.73, 170.24, 158.08
399022, 134, -66, -3958, -20, 37, 11, 328, -72, -1043, 26.73, 170.24, 158.07
399032, 132, -68, -3954, -20, 38, 11, 330, -65, -1041, 26.73, 170.23, 158.07
399042, 206, -36, -4010, -20, 38, 11, 334, -81, -1038, 26.72, 170.23, 158.06
399052, 186, -38, -4004, -19, 37, 11, 323, -75, -1043, 26.72, 170.23, 158.05
399062, 156, -44, -3968, -20, 36, 11, 333, -72, -1036, 26.71, 170.23, 158.04
399072, 140, -44, -3970, -18, 38, 11, 323, -62, -1048, 26.71, 170.22, 158.03
399081, 200, 116, -3914, -18, 37, 11, 319, -78, -1035, 26.71, 170.22, 158.02
399092, 100, -174, -3878, -17, 38, 12, 330, -67, -1039, 26.71, 170.22, 158.02
399102, 276, -42, -3944, -18, 37, 13, 319, -71, -1040, 26.70, 170.22, 158.01
399112, 116, -64, -3980, -19, 38, 13, 333, -72, -1039, 26.70, 170.22, 158.00
399122, 96, -20, -3982, -20, 37, 11, 319, -71, -1042, 26.70, 170.21, 157.99
399131, 184, -114, -4074, -19, 37, 12, 319, -78, -1035, 26.69, 170.21, 157.98
399142, 194, -70, -3974, -19, 36, 9, 325, -75, -1043, 26.69, 170.21, 157.97
399152, 188, 20, -4048, -17, 37, 12, 324, -73, -1042, 26.69, 170.21, 157.96
399162, 126, -50, -3936, -19, 37, 12, 325, -79, -1036, 26.68, 170.20, 157.96
399172, 150, -36, -4008, -20, 36, 12, 322, -73, -1042, 26.68, 170.20, 157.95
399181, 210, -20, -4000, -19, 37, 11, 311, -65, -1043, 26.68, 170.20, 157.94
399192, 184, -54, -4074, -19, 36, 13, 318, -77, -1036, 26.67, 170.20, 157.93
399202, 162, -118, -3886, -16, 38, 11, 328, -79, -1046, 26.67, 170.20, 157.92
399212, 128, -30, -3980, -19, 36, 11, 330, -75, -1039, 26.67, 170.20, 157.91
399222, 186, -2, -3950, -20, 36, 11, 322, -71, -1042, 26.66, 170.19, 157.91
399232, 152, -34, -4038, -20, 36, 12, 324, -71, -1042, 26.66, 170.19, 157.90
399242, 158, -6, -3958, -19, 36, 9, 322, -71, -1038, 26.65, 170.19, 157.89
399252, 136, -94, -3974, -19, 37, 11, 328, -62, -1036, 26.65, 170.18, 157.88
399262, 182, -8, -4010, -18, 39, 11, 318, -62, -1039, 26.65, 170.18, 157.87
399272, 224, -8, -4032, -18, 38, 11, 326, -64, -1038, 26.65, 170.18, 157.86
399282, 172, -22, -3930, -19, 38, 11, 329, -71, -1042, 26.64, 170.18, 157.86
399292, 184, -52, -3914, -19, 36, 11, 319, -71, -1038, 26.64, 170.17, 157.85
399302, 198, -18, -3960, -19, 36, 11, 326, -61, -1031, 26.64, 170.17, 157.84
399312, 174, -48, -4034, -19, 38, 11, 320, -67, -1041, 26.64, 170.17, 157.83
399321, 178, -30, -4034, -17, 36, 11, 317, -59, -1038, 26.63, 170.17, 157.82
399332, 160, 4, -3930, -19, 36, 11, 326, -81, -1028, 26.63, 170.16, 157.81
399342, 146, -28, -3982, -19, 35, 9, 322, -71, -1045, 26.62, 170.16, 157.81
399352, 184, -72, -3978, -18, 37, 11, 314, -66, -1042, 26.62, 170.16, 157.80
399362, 202, -66, -4084, -19, 37, 11, 326, -71, -1042, 26.61, 170.16, 157.79
399371, 158, -8, -4014, -19, 37, 11, 333, -72, -1039, 26.61, 170.16, 157.78
399382, 126, -48, -3968, -18, 38, 11, 322, -71, -1031, 26.61, 170.15, 157.77
399392, 176, -80, -4024, -18, 38, 11, 326, -76, -1045, 26.60, 170.15, 157.77
399402, 184, -78, -4040, -18, 36, 11, 337, -72, -1043, 26.60, 170.15, 157.76
399412, 174, -10, -3980, -20, 37, 12, 319, -69, -1035, 26.60, 170.15, 157.75
399421, 142, 4, -3950, -20, 37, 12, 328, -70, -1039, 26.59, 170.15, 157.74
399432, 138, -76, -4046, -19, 36, 12, 320, -67, -1039, 26.59, 170.14, 157.73
399442, 178, -12, -3998, -19, 37, 11, 323, -58, -1051, 26.59, 170.14, 157.72
399452, 220, -54, -3934, -19, 37, 12, 320, -70, -1039, 26.58, 170.14, 157.71
399461, 174, -66, -3994, -18, 37, 11, 314, -76, -1028, 26.58, 170.14, 157.70
399472, 158, 20, -3944, -18, 35, 11, 324, -73, -1049, 26.58, 170.14, 157.70
399482, 152, -34, -4022, -17, 36, 11, 319, -71, -1042, 26.57, 170.13, 157.69
399492, 158, -76, -4020, -19, 37, 11, 317, -69, -1042, 26.57, 170.13, 157.68
399502, 222, -60, -4024, -18, 36, 11, 319, -76, -1042, 26.56, 170.13, 157.67
399511, 126, -18, -3916, -20, 38, 11, 323, -60, -1041, 26.56, 170.13, 157.66
399522, 104, -66, -3928, -19, 39, 12, 319, -61, -1042, 26.56, 170.12, 157.66
399532, 164, -30, -4024, -17, 37, 11, 322, -61, -1042, 26.55, 170.12, 157.65
399542, 204, -42, -4052, -17, 38, 11, 329, -71, -1040, 26.55, 170.12, 157.64
399552, 136, -8, -3996, -18, 36, 9, 324, -66, -1038, 26.55, 170.12, 157.63
399562, 106, -24, -3970, -20, 38, 11, 325, -70, -1032, 26.54, 170.12, 157.63
399572, 162, -38, -3980, -19, 38, 11, 316, -72, -1036, 26.54, 170.11, 157.62
399582, 224, -46, -4038, -18, 38, 11, 320, -75, -1041, 26.54, 170.11, 157.61
399592, 174, -6, -4014, -19, 37, 9, 318, -70, -1036, 26.54, 170.11, 157.60
399601, 190, -30, -3948, -19, 38, 11, 317, -61, -1033, 26.53, 170.11, 157.59
399612, 198, -48, -3960, -19, 37, 11, 319, -73, -1035, 26.53, 170.10, 157.59
399622, 178, -22, -4012, -19, 37, 11, 319, -76, -1042, 26.53, 170.10, 157.58
399632, 216, -36, -4004, -19, 38, 11, 318, -70, -1041, 26.52, 170.10, 157.57
399642, 190, -24, -3976, -20, 36, 11, 314, -59, -1033, 26.52, 170.09, 157.56
399651, 180, -46, -3932, -17, 35, 12, 322, -69, -1026, 26.51, 170.09, 157.55
399662, 142, -14, -3978, -18, 36, 11, 323, -72, -1043, 26.51, 170.09, 157.54
399672, 192, -52, -4052, -19, 38, 11, 328, -72, -1036, 26.51, 170.09, 157.53
399682, 190, -42, -3964, -19, 37, 12, 322, -66, -1035, 26.50, 170.08, 157.53
399692, 174, -34, -3940, -18, 38, 11, 336, -73, -1045, 26.50, 170.08, 157.52
399701, 160, -26, -3894, -19, 38, 11, 323, -72, -1046, 26.50, 170.08, 157.51
399712, 176, -68, -4032, -20, 38, 11, 325, -77, -1036, 26.50, 170.08, 157.50
399722, 194, 0, -4000, -17, 37, 12, 324, -71, -1026, 26.49, 170.07, 157.49
399732, 186, 6, -4082, -19, 39, 9, 325, -79, -1041, 26.49, 170.07, 157.49
399742, 120, -154, -4040, -20, 38, 11, 331, -66, -1038, 26.49, 170.07, 157.48
399751, 156, -42, -3856, -20, 38, 11, 330, -75, -1036, 26.49, 170.07, 157.47
399762, 292, 106, -3990, -18, 37, 11, 322, -66, -1033, 26.48, 170.06, 157.46
399772, 64, -174, -4130, -18, 36, 12, 329, -66, -1033, 26.48, 170.06, 157.45
399782, 138, -46, -3974, -18, 37, 12, 316, -72, -1029, 26.48, 170.06, 157.44
399792, 204, -144, -4148, -19, 37, 12, 325, -55, -1032, 26.47, 170.06, 157.44
399802, 96, -84, -3924, -21, 37, 12, 328, -60, -1046, 26.47, 170.06, 157.43
399812, 222, -130, -3974, -19, 35, 11, 319, -71, -1040, 26.46, 170.06, 157.42
399822, 250, -112, -3916, -18, 39, 11, 319, -64, -1045, 26.46, 170.06, 157.41
399832, 254, -22, -3842, -17, 37, 11, 325, -77, -1039, 26.46, 170.06, 157.40
399842, 94, -18, -3954, -19, 36, 9, 322, -69, -1042, 26.46, 170.05, 157.39
399852, 196, -12, -4072, -19, 37, 11, 325, -67, -1034, 26.46, 170.05, 157.39
399862, 134, -28, -4090, -18, 38, 9, 319, -66, -1038, 26.45, 170.05, 157.38
399872, 182, -6, -3948, -19, 36, 12, 330, -75, -1032, 26.45, 170.05, 157.37
399882, 172, -64, -3982, -18, 37, 12, 325, -70, -1034, 26.45, 170.05, 157.36
399892, 222, -34, -4000, -21, 37, 11, 324, -71, -1042, 26.44, 170.04, 157.35
399902, 218, -12, -4014, -20, 37, 13, 320, -72, -1029, 26.44, 170.04, 157.34
399912, 168, -52, -3990, -20, 37, 11, 331, -69, -1045, 26.43, 170.04, 157.33
399922, 150, -30, -3944, -18, 36, 11, 324, -73, -1040, 26.43, 170.03, 157.33
399932, 190, -36, -3942, -20, 36, 9, 323, -70, -1036, 26.42, 170.03, 157.32
399942, 208, -24, -4028, -20, 38, 11, 326, -69, -1035, 26.42, 170.03, 157.31
399952, 146, -6, -3962, -19, 37, 9, 324, -73, -1038, 26.42, 170.03, 157.30
399962, 110, -74, -4086, -19, 37, 8, 326, -81, -1035, 26.41, 170.02, 157.30
399972, 142, -68, -3968, -17, 37, 12, 320, -72, -1048, 26.41, 170.02, 157.29
399982, 184, -92, -3994, -18, 38, 12, 319, -66, -1031, 26.41, 170.02, 157.28
399991, 214, 8, -4020, -17, 38, 11, 328, -75, -1034, 26.41, 170.02, 157.27
400002, 158, -8, -3978, -20, 38, 11, 328, -70, -1032, 26.40, 170.02, 157.26
400012, 148, -34, -3926, -19, 39, 11, 328, -72, -1036, 26.40, 170.01, 157.25
400022, 162, -38, -3984, -20, 37, 12, 336, -73, -1035, 26.40, 170.01, 157.25
400032, 160, -38, -4014, -18, 38, 12, 319, -66, -1040, 26.39, 170.01, 157.24
